product_category,problem,repair_status,brand,model,year_of_manufacture
toy,ein kleiner helikopter hatte anscheinend h henangst denn selbst bei voller drehzahl wollte er nicht aufsteigen wir verpassten dem schraub o kopter neue rotorbl tter und einen neuen akku nach einer energiespende konnte sich unser junger pilot wieder an seinem fliegenden spielzeug erfreuen,fixed,Unknown,Unknown,2014
toy,bei zwei roten spielzeugtelefonen aus der zeit der ddr die vor einiger zeit schon einmal bei uns waren konnte keine verbindung hergestellt werden beide flachbatterien welche gerade erst zwei monate im einsatz waren sind am ende ihrer lebenszeit angekommen die prim rzellen sind einfach berlagert und waren dadurch entladen,repairable,Unknown,Unknown,1970
tablet,das tablet zeigte einen bunt rauschenden steifen am ips panel an nach der demontage des rechners stellten wir jedoch keinen defekt des ips displays fest als belt ter zeigte sich diesmal das flexband zwischen mainboard und anzeige bei einer kleinen ber hrung lie sich der fehler provozieren der gast wird wenn dieses problem weiterhin auftritt das flexkabel austauschen,repairable,Lenovo,Unknown,????
small kitchen item,bei dem k chenmixstab brummte der motor nur noch aber drehte sich nicht mehr nach einer reinigung des innenlebens stellte sich wieder eine gewisse rotatorische bewegung ein,fixed,ESGE,Unknown,????
laptop,kein zugriff auf die externe festplatte die besucherin nutzte nur eine falsche angelegte verkn pfung um auf die platte zuzugreifen eine kurze beratung half ihr weiter und sie war begeistert,fixed,Unknown,Unknown,????
headphones,linke seite taub lautsprecher defekt,unknown,Sennheiser,Unknown,????
small home electrical,gerichtet,fixed,Unknown,Unknown,????
hi fi separates,platine defekt,end of life,Unknown,Unknown,????
printer scanner,papiereinzug kaputt nach feuchtigkeitskontakt,repairable,HP,Unknown,????
small kitchen item,geht nicht mehr,fixed,Unknown,Unknown,????
flat screen,w rmeproblem berhitzung,fixed,Asus,Unknown,????
hi fi separates,ersatzteil einbauen,fixed,Belcanto,Unknown,????
mobile,displayaustausch noch nicht fertig zeit reichte nicht aus,repairable,Motorola,Unknown,????
hi fi integrated,cd fach kaputt,fixed,Grundig,Unknown,????
small kitchen item,reinigen und auseinandernehmen,fixed,Grossag,Unknown,????
fan,motorschaden,end of life,SwissBrands,Unknown,????
mobile,displayaustausch,fixed,Xiaomi,Unknown,????
watch clock,runtergefallen in einzelteile,fixed,Unknown,Unknown,????
laptop,l ftung kaputt neue netzteil angebaut,fixed,macally,Unknown,????
hi fi separates,ger usch an kassettenspule len,fixed,RFT,Unknown,????
kettle,schalter abgebrochen,repairable,arendo,Unknown,????
lamp,austausch gl hbirne,fixed,Unknown,Unknown,????
hi fi separates,kabel anl ten,fixed,Technics,Unknown,????
tv and gaming related accessories,neu zusammenbauen l ten noch in arbeit zeit reichte nicht aus,fixed,Unknown,Unknown,????
watch clock,runtergefallen wieder zusammengebaut,fixed,Unknown,Unknown,????
power tool,halterung defekt metallteil abgebrochen,repairable,Hawe,Unknown,????
hi fi integrated,keine musik,end of life,Philips,Unknown,????
small kitchen item,einbau thermosicherung noch nicht fertig,repairable,Russell Hobbs,Unknown,????
hi fi separates,kabel anl ten noch nicht fertig,repairable,Technics,Unknown,????
power tool,netzkabel kaputt,fixed,Einhell,Unknown,????
portable radio,trafo kaputt,fixed,Universum,Unknown,????
small kitchen item,n a,fixed,Silvercrest,Unknown,????
sewing machine,greifer einstellen und befestigen,fixed,Fif,Unknown,2009
small kitchen item,thermosicherung defekt,repairable,Russell Hobbs,Unknown,????
small home electrical,platine des leuchtpfeils durchmessen,fixed,Unknown,Unknown,????
laptop,st rzt immer ab w rmeleitpaste erneuern,fixed,Lenovo,Unknown,2011
small home electrical,undicht,repairable,Gardena,Unknown,2017
toaster,e magnet wackler,fixed,Severin,Unknown,2011
lamp,schalter gewechselt,fixed,Unknown,Unknown,????
hi fi separates,kontakt schalter kontakspray,fixed,Unknown,Unknown,????
hi fi separates,abschaltautomatik defekt,fixed,RFT,Unknown,????
vacuum,akkublock defekt,unknown,Quigg,Unknown,????
tv and gaming related accessories,schubfach defekt,fixed,Philips,Unknown,2009
hi fi separates,reibrad wackelkontakt,repairable,Unknown,Unknown,????
toaster,wackelkontakt elektromagnet,fixed,Bosch,Unknown,2004
vacuum,l uft nicht drehzahlelektronik defekt,fixed,AEG,Unknown,2009
small kitchen item,l uft nicht hiezung defekt,end of life,WMF,Unknown,2015
dlsr video camera,spielt videokassette nicht ab,repairable,Orion,Unknown,????
toy,blende ffnet nur halb alterung kunststoff nachjustiert,fixed,Braun,Unknown,2017
large home electrical,w scht nicht,fixed,Unknown,Unknown,2007
tv and gaming related accessories,funktioniert nicht kontaktfehler,fixed,Unknown,Unknown,2012
kettle,kocht nicht fehlende w rmeleitpaste,fixed,Unknown,Unknown,2017
small home electrical,wackelkontakt,fixed,Unknown,Unknown,2009
printer scanner,n a,unknown,Unknown,Unknown,????
laptop,betriebssystem einrichten,fixed,Unknown,Unknown,????
toaster,reinigen,fixed,Unknown,Unknown,????
small kitchen item,heizt nicht thermosicherung defekt,repairable,Stöckli,Unknown,2016
sewing machine,kollektor gereinigt,fixed,La Germania,Unknown,1949
laptop,berhitzung geht nicht mehr an wahrscheinlich graphikkarte defekt,end of life,Samsung,Unknown,????
toaster,schalter l sst sich nicht mehr unterdr cken,fixed,Krups,Unknown,????
hi fi separates,spielt nur einen kanal mono nadelwechsel,repairable,Siemens,Unknown,1969
mobile,display gebrochen,repairable,Sony,Unknown,2013
large home electrical,netzteil ohne funktion schaltkreis defekt,fixed,Unknown,Unknown,2014
portable radio,laserlinse musste gereinigt werden,fixed,Grundig,Unknown,????
musical instrument,elektronisch komplett defekt,end of life,Unknown,Unknown,????
flat screen,defekt,unknown,LG Electronics,Unknown,????
vacuum,kontakte mussten korrodiertund ges ubert werden,fixed,Unknown,Unknown,????
small kitchen item,riss in der teekanne,fixed,Unknown,Unknown,????
lamp,fassung locker,fixed,Unknown,Unknown,????
small kitchen item,funktionierte nach entkalken nicht mehr,fixed,Unknown,Unknown,????
mobile,handy l sst sich nicht starten,end of life,Unknown,Unknown,????
decorative or safety lights,akku im ger t defekt,fixed,Unknown,Unknown,????
power tool,l uft nicht,fixed,Hilti,Unknown,????
large home electrical,elektronik defekt,repairable,Unknown,Unknown,????
vacuum,befestigung schalter verbogen,fixed,Unknown,Unknown,????
small home electrical,l mpchen l uchten nicht,fixed,Unknown,Unknown,????
small kitchen item,ger t entkalken,fixed,Unknown,Unknown,????
small kitchen item,kabel fehlt,fixed,Unknown,Unknown,????
small kitchen item,motorschalterung musste wieder befestigt werden,fixed,Unknown,Unknown,????
hi fi separates,riemen ausgeleiert erneuert,fixed,Unknown,Unknown,????
sewing machine,fadenspannung war falsch eingestellt,fixed,Singer,Unknown,????
small kitchen item,wicklung defekt,end of life,Unknown,Unknown,????
power tool,dreht vorne durch,fixed,Unknown,Unknown,????
mobile,internetverbindung,end of life,Unknown,Unknown,????
small home electrical,kabel lose,fixed,Unknown,Unknown,????
hi fi separates,2x riemen defekt,repairable,Sony,Unknown,????
hi fi separates,riemen defekt,repairable,Unknown,Unknown,????
tv and gaming related accessories,antriebriemen gewechselt,fixed,Unknown,Unknown,????
power tool,defekt,end of life,Unknown,Unknown,????
laptop,selbst falscher display eingebaut,end of life,Unknown,Unknown,????
hi fi integrated,sicherung getauscht,end of life,Unknown,Unknown,????
mobile,war falsch eingestellt,fixed,Unknown,Unknown,????
hi fi separates,cd schublade funktioniert nicht,fixed,Unknown,Unknown,????
small kitchen item,zu boden gefallen,fixed,Unknown,Unknown,????
hair beauty item,provisorium,fixed,Unknown,Unknown,????
portable radio,elko netzteil defekt,repairable,Unknown,Unknown,????
hi fi integrated,laufwerksteuerung fehlerhaft,end of life,Unknown,Unknown,????
hi fi separates,motor defekt et sehr teuer,end of life,Unknown,Unknown,????
small kitchen item,neue kabel eingel tet beide lager defekt,fixed,Unknown,Unknown,????
small kitchen item,kondensator von netzteil kaputt,fixed,SENSEO®,Unknown,2004
dlsr video camera,berspielung defekt,unknown,Sony,Unknown,1994
sewing machine,unterteil h lt nicht mehr fest,fixed,Privileg,Unknown,1989
toy,kein schaltplan,unknown,Denver,Unknown,2017
large home electrical,wackelkontakt,fixed,Panasonic,Unknown,2007
small home electrical,fehlbedienung,fixed,Unknown,Unknown,2009
musical instrument,saite gerissen,fixed,Unknown,Unknown,????
hi fi integrated,cd fach ffnet nicht,unknown,Kärcher,Unknown,????
sewing machine,fadenspannung,fixed,Pfaff,Unknown,????
small kitchen item,ger t defekt,end of life,Philips,Unknown,????
headphones,ger t l dt nicht mehr,fixed,Razer,Unknown,2018
small kitchen item,kabel entfernt,end of life,Severin,Unknown,1989
small kitchen item,kabel abgezwickt,end of life,Rowenta,Unknown,1999
tv and gaming related accessories,et nicht lieferbar,unknown,Unknown,Unknown,2014
musical instrument,bruch,fixed,Unknown,Unknown,????
small kitchen item,kondensator defekt,fixed,ESGE,Unknown,2015
small kitchen item,entkalken,fixed,Rowenta,Unknown,2014
toy,feder fehlt,unknown,Unknown,Unknown,2014
small home electrical,sicherung defekt,fixed,Unknown,Unknown,2004
hi fi separates,capstanwelle defekt,end of life,Unknown,Unknown,????
lamp,licht defekt,fixed,Unknown,Unknown,1969
small home electrical,pumpenk rper korrodiert,end of life,Kärcher,Unknown,2004
hi fi separates,riemen war runtergesprungen,fixed,Sony,Unknown,????
toy,gummi gerissen,fixed,Unknown,Unknown,1969
hi fi separates,l uft zu schnell,fixed,Unknown,Unknown,????
vacuum,kabelbruch,fixed,Unknown,Unknown,????
laptop,softwareprobleme windoof update will sich nicht installieren lassen,end of life,compaq,Unknown,????
hi fi separates,klangproblem konnte nicht reproduziert werden vermutung auf r ckkopplung oder rf st rquelle in der wohnung,fixed,Unknown,Unknown,????
small home electrical,leitung an l tstelle abgerissen,fixed,Unknown,Unknown,????
laptop,aus zwei defekten laptops bildschirm schaltnetzteil mainboard wurde ein funktionierender gebaut,fixed,Unknown,Unknown,2009
laptop,ein flachkabel war nicht richtig eingesteckt,fixed,Acer,Unknown,????
vacuum,ein aus schalter ohne funktion fehler konnte nicht reproduziert werden ger t funktioniert,unknown,Unknown,Unknown,????
vacuum,ger t wickelt kabel nicht mehr auf,unknown,Eio,Unknown,????
printer scanner,ger t druckt kein schwarz ger t gereinigt,unknown,HP,Unknown,????
flat screen,koaxbuchse durch besucher rausgerissen nicht l tbar,end of life,Silvercrest,Unknown,2015
sewing machine,ger t gewartet und erkl rt,fixed,Unknown,Unknown,????
vacuum,nicht funktionsf hig,repairable,Quigg,Unknown,????
small home electrical,dr hte im led kopf abgebrochen neu angel tet,fixed,Unknown,Unknown,2017
small kitchen item,anschlu schnur tauschen,fixed,Medion,Unknown,2016
portable radio,festplatte f llt sporadisch aus hdd getauscht,fixed,Easy Home (ALDI),Unknown,????
small kitchen item,lager eingetrocknet ger t geschmiert,fixed,Krups,Unknown,1974
small kitchen item,antrieb gebrochen,unknown,Moulinex,Unknown,1989
vacuum,motor ruckelt lager verschlissen kohlen abgenutzt,unknown,Vorwerk,Unknown,????
paper shredder,ger t wird hei schaltet sich ab jetzt keine funktion mehr,fixed,Medion,Unknown,2018
sewing machine,band k rzen,fixed,Unknown,Unknown,????
small home electrical,schalter defekt,fixed,Unknown,Unknown,????
mobile,display austausch,fixed,Apple,Unknown,????
mobile,akku defekt,repairable,Apple,Unknown,????
small kitchen item,ohne funktion,fixed,AEG,Unknown,????
flat screen,einschaltknopf defekt,fixed,Dell,Unknown,????
lamp,einbau eines kabels mit schutzleiter,fixed,Unknown,Unknown,1959
headphones,n a,fixed,Unknown,Unknown,????
small kitchen item,beim laufen f ngt an zu stinken noch in arbeit,repairable,Unknown,Unknown,????
battery charger adapter,kippschalter lie sich nicht mehr ausschalten wackelkontakt,fixed,Unknown,Unknown,2016
tv and gaming related accessories,runtergefallen wie zusammengeschraubt,fixed,Unknown,Unknown,2017
kettle,wackelkontakt kontaktstifte verbogen,fixed,Cloer,Unknown,2012
mobile,softwareproblem,unknown,Sony,Unknown,????
lamp,einige led blinken wurde umgebaut,repairable,Unknown,Unknown,2013
portable radio,brummen auf linkem lautsprecher,fixed,Hitachi,Unknown,1994
flat screen,geht nicht an,unknown,Unknown,Unknown,????
laptop,stecker hat wackelkontakt,fixed,Unknown,Unknown,????
printer scanner,schlechtes druckbild noch in arbeit weil zeit reichte nicht aus,repairable,Unknown,Unknown,????
tv and gaming related accessories,l sst sich nicht einschalten,unknown,Unknown,Unknown,????
flat screen,elkos aufgebl ht,fixed,LG Electronics,Unknown,????
small kitchen item,noch in arbeit,repairable,Unknown,Unknown,????
portable radio,kein ton nf verst rker defekt,fixed,Roberts,Unknown,????
large home electrical,steuerung defekt kurzschluss auf platine,repairable,Carrier,Unknown,????
small kitchen item,kabel nicht isoliert,fixed,SEG,Unknown,1999
dlsr video camera,kabelanschluss innen defekt,unknown,Minolta,Unknown,2004
portable radio,hdmi board defekt noch in arbeit,repairable,Unknown,Unknown,????
power tool,kabelbruch,fixed,Parkside,Unknown,2016
tv and gaming related accessories,thermosicherung kaputt,repairable,Unknown,Unknown,????
hi fi separates,feder kaputt,repairable,Unknown,Unknown,????
laptop,scharnier kaputt,fixed,Lenovo,Unknown,????
small kitchen item,platine kaputt,end of life,Unknown,Unknown,????
small kitchen item,kontakt l ten,fixed,Unknown,Unknown,????
vacuum,nicht reparierbar weil lie sich nicht ffnen,unknown,Unknown,Unknown,????
toaster,heizt nicht kontakte locker,fixed,Unknown,Unknown,2015
dlsr video camera,l sst sich nicht mehr ausschalten akku kaputt,repairable,Samsung,Unknown,????
watch clock,schanier bei klappe abgebrochen ersatz mit schraube gebastelt,fixed,Unknown,Unknown,????
tv and gaming related accessories,kontakt ab durch ersch tterung neu anl ten,fixed,Gembrid,Unknown,????
lamp,beratung zugentlastung,fixed,Unknown,Unknown,????
tv and gaming related accessories,l dt nicht mehr,end of life,Apple,Unknown,????
small kitchen item,kleben,fixed,Unknown,Unknown,????
printer scanner,funktioniert nicht,fixed,Unknown,Unknown,????
small kitchen item,sicherung defekt,unknown,Unknown,Unknown,????
watch clock,steht,fixed,Unknown,Unknown,????
hi fi separates,keine wiedergabe mehr,fixed,Grundig,Unknown,????
small kitchen item,mechanische ger usche,fixed,Braun,Unknown,????
power tool,dekekt,fixed,Metabo,Unknown,????
